Date,Month,Year,Neighborhood,Street,NumberOfRooms,Floor,Size,Apartment_Price
01/01/2009,1,2009,Rambam,Herzl,3,6,79,714000
01/01/2009,1,2009,Rambam,DavidAlroi,2,3,36,470000
05/01/2009,1,2009,NeotShikma,Kapah,3,2,65,930000
05/01/2009,1,2009,Rambam,Tarmav,4,6,80,1000000
07/01/2009,1,2009,NeotShikma,HaNagid,4,9,104,1450000
08/01/2009,1,2009,NeotShikma,HaRavNeriya,3,8,72,1050000
08/01/2009,1,2009,Rambam,DavidHaReuveni,6,4,131,1370000
08/01/2009,1,2009,Rambam,Abarbanel,3.5,1,87,710000
12/01/2009,1,2009,NeotShikma,Alkabets,4,4,98,1390000
14/01/2009,1,2009,NeotShikma,HaRashba,3,3,65,838000
15/01/2009,1,2009,Rambam,Rashi,4,4,85,721000
15/01/2009,1,2009,NeotAshalim,HaOrgan,4,3,93,1240000
15/01/2009,1,2009,Rambam,HazonIsh,2,2,54,620000
19/01/2009,1,2009,NeotAshalim,HaTizmoret,3,2,69,960000
21/01/2009,1,2009,NeotShikma,HaRavNeriya,3,1,65,860000
26/01/2009,1,2009,Rambam,DavidAlroi,3,4,48,320000
26/01/2009,1,2009,Rambam,RabbiYosefKaro,6,5,144,1285000
26/01/2009,1,2009,Rambam,Mohilever,5,3,102,1000000
28/01/2009,1,2009,NeotShikma,MoreshetIsrael,4,3,112,1250000
28/01/2009,1,2009,NeotShikma,HaRavGoren,4,2,96,1250000
28/01/2009,1,2009,Rambam,Tarmav,2,1,41,470000
29/01/2009,1,2009,Rambam,DavidAlroi,3,4,51,320000
29/01/2009,1,2009,NeotShikma,Kalischer,5,3,112,1350000
01/02/2009,2,2009,NeotAshalim,HaTizmoret,3,4,69,860000
02/02/2009,2,2009,Rambam,Jerusalem,3,2,89,700000
03/02/2009,2,2009,Rambam,HaRavMaimon,5,2,117,1320000
03/02/2009,2,2009,NeotShikma,HaRabimiLiubavich,3,1,66,800000
03/02/2009,2,2009,NeotAshalim,HaTof,2,10,43,795000
04/02/2009,2,2009,NeotAshalim,HaKinor,3,1,66,814000
04/02/2009,2,2009,NeotAshalim,HaMapuhit,3,3,69,915000
05/02/2009,2,2009,Rambam,Nordau,6,2,155,1350000
05/02/2009,2,2009,NeotShikma,Rival,3,1,71,950000
05/02/2009,2,2009,NeotShikma,BenSaruq,4,11,119,1725000
08/02/2009,2,2009,NeotAshalim,HaTizmoret,3,8,69,925000
08/02/2009,2,2009,NeotShikma,Alkabets,5,4,110,1390000
08/02/2009,2,2009,Rambam,YehudaLeib,4,3,80,750000
08/02/2009,2,2009,NeotAshalim,HaGitit,3,2,67,1000000
08/02/2009,2,2009,Rambam,Deganya,4,1,77,867000
09/02/2009,2,2009,NeotShikma,HaNagid,4,3,82,950000
09/02/2009,2,2009,Rambam,HaRavMaimon,4,9,98,1190000
09/02/2009,2,2009,Rambam,HaAhimSuleiman,3.5,3,81,1143000
12/02/2009,2,2009,Rambam,YehudaHalevi,4,1,99,750000
16/02/2009,2,2009,NeotAshalim,HeHalil,3,2,67,807000
17/02/2009,2,2009,Rambam,Nehama,3,3,55,610000
19/02/2009,2,2009,Rambam,HaAhimSuleiman,4,5,97,1035000
19/02/2009,2,2009,NeotShikma,HaRavNeriya,5,7,122,1530000
19/02/2009,2,2009,Rambam,BenZeev,3,6,72,755000
19/02/2009,2,2009,Rambam,Dror,3,1,61,700000
24/02/2009,2,2009,Rambam,StephenWise,3,3,68,480000
24/02/2009,2,2009,PrasNovel,MaagalAshalom,3,1,76,1060000
25/02/2009,2,2009,NeotShikma,MoreshetIsrael,4,2,82,1060000
25/02/2009,2,2009,Rambam,KidushHaShem,3,3,61,700000
26/02/2009,2,2009,NeotShikma,HaShiraHaIvrit,4,6,82,900000
26/02/2009,2,2009,NeotShikma,IbnGabirol,4,1,98,1200000
26/02/2009,2,2009,Rambam,Habad,3.5,1,94,730000
26/02/2009,2,2009,NeotShikma,Rival,4,3,93,1165000
26/02/2009,2,2009,Rambam,TsadiGimelBanot,2,2,52,665000
27/02/2009,2,2009,PrasNovel,MaagalAshalom,4,6,97,1350000
01/03/2009,3,2009,NeotAshalim,HaOrgan,5,5,108,1226000
01/03/2009,3,2009,Rambam,HaAhimSuleiman,3.5,7,81,1065000
03/03/2009,3,2009,NeotShikma,HaRavNeriya,6,10,161,1850000
03/03/2009,3,2009,NeotAshalim,HaPsanter,4,4,78,1080000
04/03/2009,3,2009,Rambam,Vitkin,3,4,81,715000
04/03/2009,3,2009,Rambam,KidushHaShem,4,1,84,724000
04/03/2009,3,2009,Rambam,HaRavMaimon,4,10,98,1250000
05/03/2009,3,2009,Rambam,YosefFainberg,2.5,3,59,500000
05/03/2009,3,2009,NeotShikma,BenSaruq,3,5,65,945000
05/03/2009,3,2009,Rambam,Habad,4,7,74,970000
08/03/2009,3,2009,NeotShikma,HaNagid,3,8,74,1000000
08/03/2009,3,2009,NeotShikma,BenSaruq,3,8,65,885000
08/03/2009,3,2009,NeotAshalim,HaKlarnit,5,5,117,1475000
09/03/2009,3,2009,NeotShikma,Kapah,4,8,75,1065000
09/03/2009,3,2009,NeotAshalim,HaGitit,4,5,92,1215000
09/03/2009,3,2009,Rambam,Eisenband,4,2,69,700000
10/03/2009,3,2009,Rambam,EinHaKore,6,1,161,1750000
11/03/2009,3,2009,NeotAshalim,HaTizmoret,3,1,74,800000
12/03/2009,3,2009,Rambam,Eisenband,4,2,86,750000
12/03/2009,3,2009,NeotShikma,Alkabets,4,5,109,1400000
16/03/2009,3,2009,NeotShikma,Kapah,3,3,65,910000
16/03/2009,3,2009,Rambam,Rambam,3,3,62,670000
17/03/2009,3,2009,NeotAshalim,HaUgav,4,1,103,1237000
18/03/2009,3,2009,Rambam,Abarbanel,3.5,4,86,820000
18/03/2009,3,2009,Rambam,Dror,3,3,53,730000
19/03/2009,3,2009,Rambam,HaRavUziel,4,3,81,825000
19/03/2009,3,2009,Rambam,ShlomoEliraz,4,19,100,1220000
22/03/2009,3,2009,Rambam,Brandeis,3.5,3,94,799000
23/03/2009,3,2009,Rambam,Rambam,4,2,90,865000
23/03/2009,3,2009,NeotShikma,MoreshetIsrael,4,1,82,1050000
23/03/2009,3,2009,NeotShikma,Rival,3,1,71,940000
23/03/2009,3,2009,Rambam,HaRavKuk,3.5,2,73,850000
23/03/2009,3,2009,Rambam,HaAhimSuleiman,3,2,69,1240000
30/03/2009,3,2009,Rambam,Vigodski,4,2,87,780000
31/03/2009,3,2009,PrasNovel,MaagalAshalom,4,7,95,1350000
31/03/2009,3,2009,Rambam,HaAhimSuleiman,4,14,89,1163000
